Effectifs de décès

Chapitre: Asthme
Année: 2016
Zone: France métropolitaine

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
'J45 -J46;Asthme;M;260;0;2;3;9;7;11;32;30;41;45;69;11;
'J45 -J46;Asthme;F;625;0;1;3;0;3;16;20;43;57;128;277;77;
'J45 -J46;Asthme;T;885;0;3;6;9;10;27;52;73;98;173;346;88;

Code CIM ; Libellé ; Sexe ;'Total;'<1;'1-4;'5-14;'15-24;'25-34;'35-44;'45-54;'55-64;'65-74;'75-84;'85-94;'95+;
;Total toutes causes confondues;M;288926;1435;256;355;1657;2891;5971;15936;36772;53871;75708;82949;11125;
;Total toutes causes confondues;F;290304;1105;208;264;652;1226;2910;8467;18086;28980;62461;130120;35825;
;Total toutes causes confondues;T;579230;2540;464;619;2309;4117;8881;24403;54858;82851;138169;213069;46950;

